"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"94","1","file:/data/f249_qdb-TEI-02.xml","/data/f249_qdb-TEI-02.xml","f249_qdb-TEI-02.xml","Signature","Done","10139855","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"95","1","file:/data/f248_qdb-TEI-02.xml","/data/f248_qdb-TEI-02.xml","f248_qdb-TEI-02.xml","Signature","Done","8231060","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"96","1","file:/data/f250_qdb-TEI-02.xml","/data/f250_qdb-TEI-02.xml","f250_qdb-TEI-02.xml","Signature","Done","12820401","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"97","1","file:/data/f246_qdb-TEI-02.xml","/data/f246_qdb-TEI-02.xml","f246_qdb-TEI-02.xml","Signature","Done","7281018","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"98","1","file:/data/f252_qdb-TEI-02.xml","/data/f252_qdb-TEI-02.xml","f252_qdb-TEI-02.xml","Signature","Done","8429691","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"99","1","file:/data/f251_qdb-TEI-02.xml","/data/f251_qdb-TEI-02.xml","f251_qdb-TEI-02.xml","Signature","Done","2335422","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"100","1","file:/data/f247_qdb-TEI-02.xml","/data/f247_qdb-TEI-02.xml","f247_qdb-TEI-02.xml","Signature","Done","7706164","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"101","1","file:/data/f257_qdb-TEI-02.xml","/data/f257_qdb-TEI-02.xml","f257_qdb-TEI-02.xml","Signature","Done","7241489","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"102","1","file:/data/f255_qdb-TEI-02.xml","/data/f255_qdb-TEI-02.xml","f255_qdb-TEI-02.xml","Signature","Done","9968542","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"103","1","file:/data/f258_qdb-TEI-02.xml","/data/f258_qdb-TEI-02.xml","f258_qdb-TEI-02.xml","Signature","Done","6298189","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"104","1","file:/data/f253_qdb-TEI-02.xml","/data/f253_qdb-TEI-02.xml","f253_qdb-TEI-02.xml","Signature","Done","5830811","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"105","1","file:/data/f254_qdb-TEI-02.xml","/data/f254_qdb-TEI-02.xml","f254_qdb-TEI-02.xml","Signature","Done","8857389","File","xml","2026-05-26T06:23:29","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
